epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,308.691,1.25432,1.795,0.0163,0.75225,0.72851,0.78745,0.46373,1.41779,1.08407,0.03999,0.00998519,0.0033284,0.00998519,0.0033284,0.00998519,0.0033284,0.00998519,0.0033284
2,571.929,1.25039,0.92039,0.01668,0.74422,0.69506,0.76455,0.44943,1.47829,1.07641,0.04441,0.0197873,0.00659578,0.0197873,0.00659578,0.0197873,0.00659578,0.0197873,0.00659578
3,825.183,1.34441,0.93135,0.01825,0.6649,0.65404,0.67227,0.36573,1.76819,1.25647,0.05879,0.0293915,0.00979716,0.0293915,0.00979716,0.0293915,0.00979716,0.0293915,0.00979716
4,1075.9,1.40509,0.87692,0.01939,0.8461,0.7635,0.8305,0.44464,1.6761,0.9515,0.04973,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1325.26,1.36934,0.80826,0.01837,0.85757,0.79738,0.85748,0.48108,1.53855,0.86257,0.04468,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1575.12,1.3378,0.75755,0.01812,0.82018,0.83036,0.8774,0.49533,1.47618,0.84029,0.04287,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1824.95,1.30689,0.73043,0.01755,0.8529,0.80559,0.86379,0.50517,1.4571,0.78849,0.04319,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2074.48,1.28993,0.73005,0.01713,0.87221,0.78813,0.84437,0.47599,1.53232,0.84204,0.04577,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2323.45,1.28018,0.70817,0.01696,0.82371,0.76909,0.7875,0.44795,1.6357,0.77141,0.05394,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2572.99,1.25852,0.67823,0.01654,0.8936,0.84233,0.897,0.54862,1.33533,0.72926,0.03769,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2822.47,1.25705,0.67308,0.01643,0.89135,0.82514,0.88044,0.52894,1.39085,0.68733,0.04086,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3072.21,1.22347,0.65726,0.01603,0.8848,0.83851,0.89273,0.55172,1.3582,0.74886,0.03941,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3321.42,1.22527,0.65586,0.016,0.88943,0.84355,0.89576,0.54812,1.38441,0.67647,0.03999,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3571.17,1.21381,0.632,0.01578,0.88333,0.78569,0.81973,0.48754,1.4816,0.72639,0.04597,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3820.95,1.21066,0.6415,0.01568,0.8821,0.83503,0.89388,0.54787,1.37353,0.70162,0.03951,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,4071.05,1.19454,0.61627,0.01536,0.84276,0.78711,0.82933,0.50891,1.48322,0.76482,0.04631,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,4321.46,1.19003,0.61535,0.0152,0.90275,0.84117,0.91231,0.58459,1.26111,0.64861,0.03529,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,4571.84,1.17814,0.60129,0.0152,0.91478,0.85933,0.9258,0.59094,1.27321,0.57752,0.0356,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,4822.7,1.17881,0.59975,0.01502,0.90497,0.86443,0.91529,0.58982,1.2572,0.59826,0.03538,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,5073.65,1.1714,0.57589,0.01489,0.94008,0.84545,0.92134,0.5992,1.24756,0.58687,0.03497,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,5324.32,1.15836,0.58558,0.01479,0.91208,0.85685,0.92597,0.59826,1.2273,0.6029,0.03418,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,5574.46,1.1516,0.56676,0.01462,0.92018,0.85905,0.90919,0.58272,1.27549,0.60652,0.03669,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,5824.59,1.15143,0.58346,0.01465,0.92833,0.8597,0.92202,0.59512,1.25155,0.60423,0.03527,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,6074.38,1.13859,0.56226,0.01451,0.91826,0.84698,0.90257,0.58767,1.25427,0.60975,0.03575,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,6325.35,1.12468,0.55687,0.01429,0.92135,0.86532,0.92044,0.59685,1.21733,0.58088,0.03414,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,6575.83,1.12757,0.55513,0.0142,0.91914,0.86939,0.92623,0.60212,1.21161,0.56675,0.03362,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,6826.23,1.13344,0.56403,0.01431,0.92881,0.88003,0.93209,0.61871,1.1844,0.55894,0.03265,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,7076.41,1.11761,0.54034,0.01402,0.92573,0.88815,0.93611,0.62304,1.18644,0.5455,0.03274,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,7326.73,1.11485,0.54479,0.01389,0.93688,0.88006,0.93082,0.62149,1.17911,0.5465,0.03262,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,7577.47,1.11151,0.52651,0.01394,0.92909,0.87874,0.93733,0.63189,1.15579,0.52421,0.03166,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,7828.18,1.1079,0.52061,0.01394,0.93122,0.8865,0.93662,0.62596,1.16578,0.5557,0.03159,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,8078.53,1.10492,0.52253,0.01384,0.91312,0.90051,0.9314,0.61863,1.17687,0.54171,0.03252,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,8329.12,1.09051,0.5336,0.01361,0.94293,0.89719,0.93357,0.63257,1.16308,0.52444,0.03202,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,8579.88,1.10012,0.53598,0.01375,0.92996,0.88489,0.93371,0.62852,1.15201,0.55007,0.0315,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
