epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,143.368,1.13243,3.67144,0.01445,0.30997,0.36326,0.31883,0.21268,1.09442,2.61591,0.02674,0.000195586,0.000195586,0.000195586
2,265.073,1.1633,1.88844,0.01513,0.5483,0.52409,0.50785,0.33224,1.1502,1.88966,0.02894,0.000387709,0.000387709,0.000387709
3,386.081,1.19253,1.70615,0.01535,0.61386,0.56288,0.58489,0.40051,1.15425,1.56723,0.02867,0.000575951,0.000575951,0.000575951
4,506.614,1.18506,1.61335,0.01516,0.61271,0.58651,0.64528,0.44739,1.12191,1.41307,0.02705,0.000570536,0.000570536,0.000570536
5,627.015,1.1667,1.5252,0.01502,0.64081,0.64082,0.67763,0.47143,1.04563,1.30515,0.02438,0.000564715,0.000564715,0.000564715
6,747.12,1.14637,1.47359,0.0145,0.69027,0.61884,0.70243,0.5029,1.07876,1.17828,0.02553,0.000558894,0.000558894,0.000558894
7,867.499,1.1293,1.43835,0.0141,0.72753,0.65654,0.73635,0.53137,0.98987,1.05898,0.02272,0.000553073,0.000553073,0.000553073
8,987.998,1.11665,1.39347,0.01408,0.76566,0.63843,0.7389,0.53373,0.99977,1.07078,0.02269,0.000547252,0.000547252,0.000547252
9,1108.33,1.0906,1.3501,0.01358,0.76724,0.72206,0.76446,0.55621,1.00372,1.02327,0.02332,0.00054143,0.00054143,0.00054143
10,1228.81,1.1043,1.34655,0.01357,0.81807,0.65128,0.73891,0.53704,0.96719,1.02113,0.02208,0.000535609,0.000535609,0.000535609
11,1348.93,1.0717,1.31144,0.01327,0.71572,0.69659,0.72792,0.5245,1.02761,1.00519,0.02362,0.000529788,0.000529788,0.000529788
12,1469.37,1.08202,1.29455,0.01324,0.76341,0.68439,0.74504,0.55124,0.97229,1.01244,0.0222,0.000523967,0.000523967,0.000523967
13,1590.06,1.06835,1.25478,0.01312,0.73797,0.72283,0.7752,0.57265,0.97249,0.96667,0.02228,0.000518146,0.000518146,0.000518146
14,1711.91,1.06316,1.24044,0.01332,0.76677,0.71334,0.76695,0.56228,0.97875,0.97076,0.02283,0.000512324,0.000512324,0.000512324
15,1833.65,1.05733,1.22683,0.01286,0.77965,0.70252,0.74955,0.56009,0.94969,0.9995,0.02139,0.000506503,0.000506503,0.000506503
16,1955.24,1.05292,1.24431,0.01291,0.80576,0.73148,0.79868,0.59991,0.9596,0.91041,0.0216,0.000500682,0.000500682,0.000500682
17,2077.01,1.03479,1.19584,0.0128,0.78896,0.70453,0.78322,0.57961,0.96651,0.9581,0.02181,0.000494861,0.000494861,0.000494861
18,2198.63,1.03148,1.18797,0.01264,0.77027,0.7384,0.79577,0.6047,0.93091,0.90214,0.02095,0.00048904,0.00048904,0.00048904
19,2320.53,1.02666,1.18642,0.01283,0.77471,0.73301,0.79245,0.5978,0.93737,0.87745,0.02124,0.000483218,0.000483218,0.000483218
